CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
031780002023051813;03178000;18/05/2023;7613;I2M2;0.9533
031992002023051813;03199200;18/05/2023;7613;I2M2;0.9169
031786602023051713;03178660;17/05/2023;7613;I2M2;0.769
031801002023051713;03180100;17/05/2023;7613;I2M2;0.5031
032040002023051713;03204000;17/05/2023;7613;I2M2;0.6698
032022502023051713;03202250;17/05/2023;7613;I2M2;0.6326
032070202023051613;03207020;16/05/2023;7613;I2M2;0.1655
032050002023051613;03205000;16/05/2023;7613;I2M2;0.1918
031985302023051613;03198530;16/05/2023;7613;I2M2;0.781
032232002023050513;03223200;05/05/2023;7613;I2M2;0.8094
032224182023050413;03222418;04/05/2023;7613;I2M2;0.663
031970002023050313;03197000;03/05/2023;7613;I2M2;0.4996
032197802023050313;03219780;03/05/2023;7613;I2M2;0.7078
032260002022092813;03226000;28/09/2022;7613;I2M2;0.9002
031801002022092013;03180100;20/09/2022;7613;I2M2;0.6129
031992002022092013;03199200;20/09/2022;7613;I2M2;0.9127
032640002022091913;03264000;19/09/2022;7613;I2M2;0.6108
032232002022091913;03223200;19/09/2022;7613;I2M2;0.7634
041155802022090913;04115580;09/09/2022;7613;I2M2;0.8136
041156752022090813;04115675;08/09/2022;7613;I2M2;0.7093
041107002022090813;04110700;08/09/2022;7613;I2M2;0.4547
041237602022090713;04123760;07/09/2022;7613;I2M2;0.8311
041231002022090713;04123100;07/09/2022;7613;I2M2;0.7858
032726852022083013;03272685;30/08/2022;7613;I2M2;0.6086
032174002022082613;03217400;26/08/2022;7613;I2M2;0.3021
032719652022082513;03271965;25/08/2022;7613;I2M2;0.4918
032556502022082413;03255650;24/08/2022;7613;I2M2;0.4802
032170002022081913;03217000;19/08/2022;7613;I2M2;0.3093
032463002022081113;03246300;11/08/2022;7613;I2M2;0.154
032469202022081013;03246920;10/08/2022;7613;I2M2;0.5977
032472102022080813;03247210;08/08/2022;7613;I2M2;0.4816
032507972022080413;03250797;04/08/2022;7613;I2M2;0.555
032419572022080313;03241957;03/08/2022;7613;I2M2;0.7292
032363952022080213;03236395;02/08/2022;7613;I2M2;0.7848
032504752022080213;03250475;02/08/2022;7613;I2M2;0.7364
032367302022080213;03236730;02/08/2022;7613;I2M2;0.5966
032504302022080213;03250430;02/08/2022;7613;I2M2;0.7681
032411702022080113;03241170;01/08/2022;7613;I2M2;0.7595
032415902022072813;03241590;28/07/2022;7613;I2M2;0.6776
032484012022072713;03248401;27/07/2022;7613;I2M2;0.6433
032451002022072713;03245100;27/07/2022;7613;I2M2;0.5859
032314902022072613;03231490;26/07/2022;7613;I2M2;0.557
032310652022072613;03231065;26/07/2022;7613;I2M2;0.3756
032317402022072213;03231740;22/07/2022;7613;I2M2;0.646
032324502022072213;03232450;22/07/2022;7613;I2M2;0.7153
032265402022072113;03226540;21/07/2022;7613;I2M2;0.6299
032266402022072113;03226640;21/07/2022;7613;I2M2;0.5683
032555802022072113;03255580;21/07/2022;7613;I2M2;0.5596
032551802022072113;03255180;21/07/2022;7613;I2M2;0.5934
032547702022072113;03254770;21/07/2022;7613;I2M2;0.4207
032263002022072113;03226300;21/07/2022;7613;I2M2;0.6173
032578002022072013;03257800;20/07/2022;7613;I2M2;0.582
032537802022072013;03253780;20/07/2022;7613;I2M2;0.6237
032272962022072013;03227296;20/07/2022;7613;I2M2;0.6196
032271002022072013;03227100;20/07/2022;7613;I2M2;0.3974
032649652022071313;03264965;13/07/2022;7613;I2M2;0.7065
032657102022071213;03265710;12/07/2022;7613;I2M2;0.6975
032349562022071213;03234956;12/07/2022;7613;I2M2;0.6761
032656002022071213;03265600;12/07/2022;7613;I2M2;0.7418
032346502022071113;03234650;11/07/2022;7613;I2M2;0.5159
032659932022071113;03265993;11/07/2022;7613;I2M2;0.7168
032401002022071113;03240100;11/07/2022;7613;I2M2;0.4527
032616002022070513;03261600;05/07/2022;7613;I2M2;0.742
032050002022070113;03205000;01/07/2022;7613;I2M2;0.2337
032215002022063013;03221500;30/06/2022;7613;I2M2;0.7518
032022502022062913;03202250;29/06/2022;7613;I2M2;0.4805
031788352022062913;03178835;29/06/2022;7613;I2M2;0.3183
032459702022062813;03245970;28/06/2022;7613;I2M2;0.569
032070202022062813;03207020;28/06/2022;7613;I2M2;0.274
032710002022062113;03271000;21/06/2022;7613;I2M2;0.6653
032703902022062113;03270390;21/06/2022;7613;I2M2;0.7109
032700002022062013;03270000;20/06/2022;7613;I2M2;0.7925
032714152022062013;03271415;20/06/2022;7613;I2M2;0.5353
032694382022062013;03269438;20/06/2022;7613;I2M2;0.6843
031985302022061713;03198530;17/06/2022;7613;I2M2;0.7985
031780002022061613;03178000;16/06/2022;7613;I2M2;0.849
031769452022061613;03176945;16/06/2022;7613;I2M2;0.4046
031917002022061613;03191700;16/06/2022;7613;I2M2;0.5809
031750002022061513;03175000;15/06/2022;7613;I2M2;0.8968
031746952022061513;03174695;15/06/2022;7613;I2M2;0.0624
032227802022061513;03222780;15/06/2022;7613;I2M2;0.6932
031786602022061513;03178660;15/06/2022;7613;I2M2;0.6543
032342152022060913;03234215;09/06/2022;7613;I2M2;0.2339
032339802022060813;03233980;08/06/2022;7613;I2M2;0.5617
032120902022052713;03212090;27/05/2022;7613;I2M2;0.8394
032160002022052613;03216000;26/05/2022;7613;I2M2;0.3603
032040002022051913;03204000;19/05/2022;7613;I2M2;0.6934
032142402022051813;03214240;18/05/2022;7613;I2M2;0.4455
032286902022051813;03228690;18/05/2022;7613;I2M2;0.5929
